Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;1;São Bernardo;Iturama;Soja;BMX TORMENTA IPRO;Grão;44,79;Nenhum;0;23/11/2023;24/11/2023;MG
2024;1;São Bernardo;Prata;Soja;BMX OLIMPO IPRO;Grão;57,51;Nenhum;0;20/11/2023;22/11/2023;MG
2024;1;São Pedro;Pivô 2;Milho Doce;Thunder;Outros;112,0126;Nenhum;0;31/10/2023;08/11/2023;MG
2024;1;Boa Viagem;Pivô 7;Milho Doce;Thunder;Outros;57,98;Nenhum;0;19/12/2023;21/12/2023;MG
2024;1;São Bernardo;Tupaciguara;Soja;BMX GUEPARDO IPRO;Grão;55,49;Nenhum;0;23/11/2023;25/11/2023;MG
2024;1;São Bernardo;Uberaba;Milho;NK 503 VIP;Grão;52,65;Nenhum;0;29/11/2023;30/11/2023;MG
2024;1;São Bernardo;Uberlândia;Soja;BMX TORMENTA IPRO;Grão;49,67;Nenhum;0;17/11/2023;20/11/2023;MG
2024;1;São Bernardo;Viçosa;Soja;TMG 2374 IPRO;Grão;90,53;Nenhum;0;02/11/2023;04/11/2023;MG
2024;1;Lagoa Bonita;Pivô 9;Milho Doce;Thunder;Outros;64,73;Nenhum;0;08/01/2024;10/01/2024;MG
2024;1;Boa Viagem;Pivô 8;Milho Doce;Thunder;Outros;81,11;Nenhum;0;20/12/2023;24/11/2023;MG
